username,level,userID,TIC_TAC_TOE_wins,TIC_TAC_TOE_losses,TIC_TAC_TOE_mmr,TIC_TAC_TOE_winRatio,TIC_TAC_TOE_rank,TIC_TAC_TOE_gameSignal,CONNECT_FOUR_wins,CONNECT_FOUR_losses,CONNECT_FOUR_mmr,CONNECT_FOUR_winRatio,CONNECT_FOUR_rank,CONNECT_FOUR_gameSignal,CHECKERS_wins,CHECKERS_losses,CHECKERS_mmr,CHECKERS_winRatio,CHECKERS_rank,CHECKERS_gameSignal
user1,42,100000,4,34,1056,0.11,SILVER,1,61,97,1850,0.39,SILVER,2,15,88,1370,0.15,SILVER,3
user10,56,100009,27,29,2285,0.48,GOLD,1,68,38,2569,0.64,GOLD,2,7,33,790,0.17,BRONZE,3
user11,64,100010,100,43,2138,0.7,GOLD,1,79,41,2405,0.66,GOLD,2,91,72,1874,0.56,SILVER,3
user12,67,100011,80,54,1876,0.6,SILVER,1,36,33,1983,0.52,SILVER,2,94,30,2877,0.76,GOLD,3
user13,52,100012,99,83,2017,0.54,GOLD,1,59,32,2050,0.65,GOLD,2,0,73,1181,0.0,SILVER,3
user14,55,100013,11,50,1435,0.18032786885245902,SILVER,1,22,30,1799,0.42,SILVER,2,49,22,2287,0.69,GOLD,3
user15,47,100014,80,97,1914,0.45,SILVER,1,1,54,1253,0.02,SILVER,2,39,67,1573,0.37,SILVER,3
user16,73,100015,95,15,3050,0.8636363636363636,DIAMOND,1,90,58,2081,0.61,GOLD,2,90,53,2204,0.63,GOLD,3
user17,54,100016,62,86,1878,0.42,SILVER,1,83,47,2578,0.64,GOLD,2,1,69,978,0.01,BRONZE,3
user18,66,100017,85,95,1933,0.47,SILVER,1,81,55,2354,0.6,GOLD,2,72,69,2332,0.51,GOLD,3
user19,78,100018,99,13,2984,0.88,GOLD,1,68,26,2213,0.72,GOLD,2,55,7,2630,0.89,GOLD,3
user20,60,100019,55,45,1811,0.55,SILVER,1,97,94,2702,0.51,GOLD,2,55,83,1568,0.4,SILVER,3
user21,7,100020,4,42,214,0.08695652173913043,BRONZE,1,13,40,264,0.24528301886792453,BRONZE,2,9,49,276,0.15517241379310345,BRONZE,3
user22,5,100021,17,22,150,0.44,BRONZE,1,5,25,175,0.17,BRONZE,2,3,20,175,0.13,BRONZE,3
user23,41,100022,25,75,980,0.25,BRONZE,1,30,28,1780,0.52,SILVER,2,15,90,1090,0.14,SILVER,3
user24,70,100023,90,30,2590,0.75,GOLD,1,91,29,2765,0.76,GOLD,2,88,25,2660,0.78,GOLD,3
user25,48,100024,50,25,2040,0.66,GOLD,1,42,30,1925,0.58,SILVER,2,38,30,2025,0.56,GOLD,3
user26,2,100025,8,41,60,0.16,BRONZE,1,5,45,70,0.1,BRONZE,2,7,40,70,0.15,BRONZE,3
user27,45,100026,20,19,1765,0.51,SILVER,1,9,30,1005,0.23,SILVER,2,18,15,1570,0.54,SILVER,3
user28,3,100027,13,12,100,0.52,BRONZE,1,8,20,100,0.28,BRONZE,2,2,18,100,0.1,BRONZE,3
user29,50,100028,55,55,1950,0.5,SILVER,1,60,40,2100,0.6,GOLD,2,5,70,1020,0.06,SILVER,3
user30,18,100029,94,11,600,0.89,BRONZE,1,88,13,600,0.87,BRONZE,2,97,18,600,0.84,BRONZE,3
user31,29,100030,4,30,900,0.12,BRONZE,1,5,33,870,0.13,BRONZE,2,2,28,845,0.07,BRONZE,3
user32,12,100031,12,23,400,0.34,BRONZE,1,10,20,400,0.33,BRONZE,2,6,18,400,0.25,BRONZE,3
user33,15,100032,25,28,500,0.47,BRONZE,1,18,21,500,0.46,BRONZE,2,22,20,500,0.52,BRONZE,3
user34,65,100033,42,27,2150,0.61,GOLD,1,39,23,2085,0.63,GOLD,2,41,25,2175,0.62,GOLD,3
user35,72,100034,65,20,2650,0.76,GOLD,1,70,15,2780,0.82,GOLD,2,58,18,2605,0.76,GOLD,3
user36,36,100035,9,32,980,0.22,BRONZE,1,7,28,940,0.2,BRONZE,2,6,30,915,0.17,BRONZE,3
user37,49,100036,18,29,1350,0.38,SILVER,1,20,33,1310,0.38,SILVER,2,15,26,1285,0.37,SILVER,3
user38,58,100037,35,28,1985,0.55,SILVER,1,36,26,2055,0.58,GOLD,2,33,31,1950,0.51,SILVER,3
user39,61,100038,41,18,2240,0.69,GOLD,1,38,17,2315,0.69,GOLD,2,36,20,2225,0.64,GOLD,3
user40,75,100039,85,21,2780,0.8,GOLD,1,91,18,2890,0.83,GOLD,2,82,22,2760,0.78,GOLD,3
Bob,17,123456,0,0,0,0.0,BRONZE,1,0,0,0,0.0,BRONZE,2,0,0,0,0.0,BRONZE,3
Charlie,18,987654,0,0,0,0.0,BRONZE,1,0,0,0,0.0,BRONZE,2,0,0,0,0.0,BRONZE,3
Winner,10,111111,0,0,1002,0.0,SILVER,1,0,0,0,0.0,BRONZE,2,0,0,0,0.0,BRONZE,3
Loser,10,222222,0,0,1002,0.0,SILVER,1,0,0,0,0.0,BRONZE,2,0,0,0,0.0,BRONZE,3
Delta,17,987321,0,0,0,0.0,BRONZE,1,0,0,0,0.0,BRONZE,2,0,0,0,0.0,BRONZE,3
Alice,18,123789,0,0,0,0.0,BRONZE,1,0,0,0,0.0,BRONZE,2,0,0,0,0.0,BRONZE,3
Echo,17,567567,0,0,0,0.0,BRONZE,1,0,0,0,0.0,BRONZE,2,0,0,0,0.0,BRONZE,3
Ferrera,18,765765,0,0,0,0.0,BRONZE,1,0,0,0,0.0,BRONZE,2,0,0,0,0.0,BRONZE,3
ss,1,942951,2,0,72,1.0,BRONZE,1,2,0,68,1.0,BRONZE,2,0,0,0,0.0,BRONZE,3
